tahun,nama_provinsi,jenis_sampah,persentase
ALL,Aceh,Sisa Makanan,38.920274
ALL,Aceh,Kayu/Ranting,12.971451
ALL,Aceh,Kertas/Karton,11.204433
ALL,Aceh,Plastik,19.621134
ALL,Aceh,Logam,3.371037
ALL,Aceh,Kain,2.584263
ALL,Aceh,Karet/Kulit,2.10285
ALL,Aceh,Kaca,2.356786
ALL,Aceh,Lainnya,7.239684
ALL,Aceh,Sisa Makanan,30.986222
ALL,Aceh,Kayu/Ranting,14.049778
ALL,Aceh,Kertas/Karton,11.406889
ALL,Aceh,Plastik,22.982889
ALL,Aceh,Logam,4.711333
ALL,Aceh,Kain,3.629778
ALL,Aceh,Karet/Kulit,3.303333
ALL,Aceh,Kaca,3.368
ALL,Aceh,Lainnya,5.820465
ALL,Sumatera Utara,Sisa Makanan,34.234
ALL,Sumatera Utara,Kayu/Ranting,13.808
ALL,Sumatera Utara,Kertas/Karton,12.765
ALL,Sumatera Utara,Plastik,19.718
ALL,Sumatera Utara,Logam,1.482
ALL,Sumatera Utara,Kain,2.725
ALL,Sumatera Utara,Karet/Kulit,2.598
ALL,Sumatera Utara,Kaca,3.35
ALL,Sumatera Utara,Lainnya,9.29
ALL,Sumatera Barat,Sisa Makanan,42.549999
ALL,Sumatera Barat,Kayu/Ranting,11.504
ALL,Sumatera Barat,Kertas/Karton,13.531176
ALL,Sumatera Barat,Plastik,18.582941
ALL,Sumatera Barat,Logam,3.816875
ALL,Sumatera Barat,Kain,1.493529
ALL,Sumatera Barat,Karet/Kulit,1.390667
ALL,Sumatera Barat,Kaca,2.159333
ALL,Sumatera Barat,Lainnya,7.174667
ALL,Riau,Sisa Makanan,35.475
ALL,Riau,Kayu/Ranting,15.606
ALL,Riau,Kertas/Karton,6.448
ALL,Riau,Plastik,13.934
ALL,Riau,Logam,4.694
ALL,Riau,Kain,2.703
ALL,Riau,Karet/Kulit,2.432
ALL,Riau,Kaca,5.611
ALL,Riau,Lainnya,15.871251
ALL,Jambi,Sisa Makanan,45.246667
ALL,Jambi,Kayu/Ranting,15.74
ALL,Jambi,Kertas/Karton,11.06
ALL,Jambi,Plastik,14.613333
ALL,Jambi,Logam,1.94
ALL,Jambi,Kain,7.646666
ALL,Jambi,Karet/Kulit,1.733333
ALL,Jambi,Kaca,0.52
ALL,Jambi,Lainnya,1.493333
ALL,Sumatera Selatan,Sisa Makanan,39.258889
ALL,Sumatera Selatan,Kayu/Ranting,11.084444
ALL,Sumatera Selatan,Kertas/Karton,9.719444
